issue_slug,reference,plus_means(+1 지지 / +2 강한 지지),minus_means(-1 반대 / -2 강한 반대),polarity_basis,note
judicial-reform-3laws,사법개혁 3법(법왜곡죄·재판소원·대법관 증원),3법 입법 찬성·필요성 옹호,3법 반대·위헌·사법부 장악 주장,정책·정부안,
prosecution-reform,"검찰 수사·기소 분리 개편(공소청·중수청, 보완수사권 폐지)",검찰청 폐지·수사기소 분리·보완수사권 폐지 지지,개편 반대·보완수사권 존치·검찰 기능 유지,정책·정부안,파일럿 '정성호·보완수사권' 이슈는 여기로 매핑
special-counsel-2nd,2차 종합특검(윤석열·김건희),특검 수사 정당·범위 확대·엄정 수사 지지,정치보복·과잉수사 주장·특검 반대,정책·정부안,
insurrection-trials,12·3 내란 재판·청산,내란 책임 청산·엄벌·재판 정당성 지지,재판 부당·정치재판·계엄 정당화,정책·정부안,계엄 옹호는 -2
political-prosecution-probe,정치검찰 조작기소 국정조사,국정조사 정당·필요,국정조사 부당·방탄용 주장,정책·정부안,
constitutional-amendment,개헌(권력구조 개편),개헌 추진 찬성·시기 적절,개헌 반대·시기상조·연임용 의심,정책·정부안,현직 대통령 연임 개헌은 별도 표기(-로 읽힘 주의)
electoral-reform,선거제 개편(비례성 강화·위성정당 방지),개편 찬성,개편 반대·현행 유지,정책·정부안,
local-election-aftermath,6·3 지방선거 결과와 여당 책임론,여당 대응·해석 옹호(책임론 부정),여당 책임론 지지·지도부 책임 요구,진영 내부·여당 기준,dormant 예정. 부호 기준 '여당' 고정
dp-leadership,민주당 지도부·당내 역학(전당대회),현 지도부·주류(친명) 노선 옹호,지도부·주류 비판·분열 경고,진영 내부·주류 노선,★후보 개인 지지는 stance가 아니라 targets+sentiment로. 골든셋 #6·#7·#9·#10 재라벨 기준
ppp-direction,국민의힘 노선(절윤·쇄신 vs 현상유지),절윤·쇄신·재편 노선 지지,친윤·현상유지 옹호·쇄신 반대,진영 내부·쇄신 노선,보수 채널에서 '-'가 많이 나올 수 있음 — 정상
minor-party-realign,제3지대·군소정당 재편,제3세력 연대·확장 긍정,제3지대 회의·무의미 주장,진영 내부·제3지대,
real-estate-policy,정부 부동산 정책(공급·세제·규제),정부 정책 지지·효과 기대,정부 정책 반대·실패 예측·시장 왜곡 주장,정책·정부안,골든셋 #1~#3 기준. 세제 개편안 = 정부안
tax-reform,세제 개편(과세 강화 vs 감세),과세 강화·증세·정부 개편안 지지,감세·과세 완화 지지·정부안 반대,정책·정부안,부동산 세제는 real-estate-policy 우선
fiscal-policy,확장재정·민생지원금,확장재정·지원금 지지,재정건전성 우선·지원금 반대,정책·정부안,
labor-policy,노동권 강화 입법(노란봉투법·주4일·정년연장),노동권 강화 지지,기업 부담·반대,정책·정부안,
platform-regulation,플랫폼 규제,규제 강화 지지,산업 진흥·규제 반대,정책·정부안,
semiconductor-ai,반도체·AI 산업 지원,지원 확대(보조금·세액공제) 지지,특혜·재정 낭비 주장,정책·정부안,
energy-policy,에너지 믹스(원전 vs 재생),원전 확대·유지 지지,탈원전·재생 전환 우선,정책·첫 번째 선택지 기준,★방향 정의 검토 필요 — 정부안 기준으로 바꿀지
pension-reform,연금 개혁,정부 개혁안(보험료율·구조개혁) 지지,개혁안 반대·세대 불공정 주장,정책·정부안,
healthcare-reform,의료 개혁(정원·필수의료·공공의료),개혁 추진 지지,개혁 반대·의료계 입장 옹호,정책·정부안,
low-birthrate,저출생 대책,정책 실효성 인정·지지,실효성 부정·비판,정책·정부안,
immigration-policy,이민·외국인력 확대,확대·이민청 찬성,확대 반대·우려,정책·정부안,
gender-policy,성평등 정책(여가부 유지·강화),성평등 정책 강화 지지,축소·폐지 지지,정책·정부안,'젠더갈등' 발언은 대상 명시 필수
nk-policy,대북 대화·관여,대화 재개·관여 확대 지지,압박·제재 강화·대화 무용,정책·정부안,
us-alliance,한미동맹 운용·방위비,동맹 강화·미국 요구 수용,자주 노선·분담 거부·관세 보복 주장,정책·동맹 강화 기준,★'정부안 기준'과 어긋날 수 있음 — 검토
japan-china-relations,한일·한중 관계,관계 개선·협력 확대 지지,강경 대응·거리두기,정책·관계 개선 기준,한일과 한중이 갈리면 targets로 구분
media-reform,언론·방송 개혁 입법,공영방송 지배구조 개편·언론 입법 지지,언론 장악·반대,정책·정부안,
disinformation-regulation,허위정보·유튜브 규제,규제 강화 지지,표현의 자유 우선·규제 반대,정책·정부안,우리 사업 관련 — 발언 수위 주의
balanced-development,균형발전·지방소멸 대응,균형발전 정책 지지,수도권 규제 반대·실효성 부정,정책·정부안,
commercial-law,상법 개정(이사 충실의무·지배구조),개정 지지,개정 반대·기업 부담,정책·정부안,
election-fraud-allegation,(신규 후보) 부정선거 의혹,의혹 제기 정당·규명 필요,의혹 부정·음모론 비판,정책·의혹 제기 기준,★골든셋 2차(MD-vsT5q_5U) 라벨용 신규 후보. 시드 v1 편입은 성환 합의
