issue_slug,이슈명,카테고리,정의(논쟁 단위),연관 키워드,status,비고
judicial-reform-3laws,사법개혁 3법,사법·검찰개혁,법왜곡죄 신설·재판소원 도입·대법관 증원을 묶은 사법개혁 입법 패키지에 대한 찬반,법왜곡죄;재판소원;대법관 증원;법원조직법;헌법재판소법,active,2026.2월 필리버스터 대상. 통과 후에도 위헌 논쟁 지속
prosecution-reform,검찰개혁 (공소청·중수청),사법·검찰개혁,검찰청 폐지 후 공소청·중대범죄수사청 신설 등 수사·기소 분리 개편에 대한 찬반,공소청;중대범죄수사청;수사기소 분리;검수완박,active,
special-counsel-2nd,2차 종합특검 (윤석열·김건희),사법·검찰개혁,전 대통령 부부 관련 종합특검의 수사 범위·기간·정당성에 대한 논쟁,종합특검;특검법;김건희;윤석열,active,2026.1월 통과. 수사 진행 상황 따라 재점화
insurrection-trials,12·3 내란 재판·청산,사법·검찰개혁,내란 관련 재판 진행과 책임 청산 범위·방식을 둘러싼 논쟁,내란재판;내란청산;12.3;계엄,active,
political-prosecution-probe,정치검찰 조작기소 국정조사,사법·검찰개혁,전 정부 검찰의 조작기소 의혹 국정조사의 정당성·범위 논쟁,조작기소;국정조사;정치검찰,active,
constitutional-amendment,개헌 논의,정치제도,권력구조 개편(4년 중임제 등)·기본권 확대를 포함한 개헌의 방향과 시기,개헌;4년 중임제;권력구조;헌법개정,active,2028 총선 국면 접근할수록 비중 상승 예상
electoral-reform,선거제 개편,정치제도,비례대표제 개편·위성정당 방지 등 선거제도 개혁 논쟁,선거법;비례대표;위성정당;연동형,active,
local-election-aftermath,6·3 지방선거 후폭풍,정치제도,2026 지방선거 결과 해석과 각 당의 책임론·전략 재편 논쟁,지방선거;오세훈;책임론;재보선,active,시간이 지나면 dormant 처리 후보
dp-leadership,민주당 지도부·당내 역학,진영 내부,"여당 지도부 구성과 계파 역학, 전당대회를 둘러싼 당내 논쟁",민주당 전당대회;당대표;친명;계파,active,당대표 직무대행 체제(2026.07) 이후 전당대회 국면
ppp-direction,국민의힘 노선 갈등,진영 내부,절윤·탄핵 평가·한동훈 제명 이후 당 정체성과 재건 노선을 둘러싼 갈등,절윤;한동훈 제명;당 쇄신;보수 재편,active,
minor-party-realign,제3지대·군소정당 재편,진영 내부,조국혁신당·개혁신당 등 제3세력의 연대·경쟁 구도 변화,조국혁신당;개혁신당;제3지대;연대,active,
real-estate-policy,부동산 정책,경제·민생,주택 공급·세제·대출 규제 등 정부 부동산 정책의 효과와 방향 논쟁,부동산;공급대책;종부세;대출규제;전세,active,
tax-reform,세제 개편,경제·민생,상속세·금융투자소득세·법인세 등 세제 개편의 방향성 논쟁,상속세;금투세;법인세;감세;증세,active,
fiscal-policy,재정 정책·민생지원금,경제·민생,확장 재정·민생회복지원금·국가부채를 둘러싼 논쟁,민생지원금;추경;국가부채;재정건전성,active,
labor-policy,노동 정책,경제·민생,노란봉투법 후속·주4일제·정년 연장 등 노동 의제 논쟁,노란봉투법;주4일제;정년연장;최저임금,active,
platform-regulation,플랫폼 규제,경제·민생,온라인 플랫폼 독과점 규제와 산업 진흥 사이의 균형 논쟁,플랫폼법;온플법;독과점;수수료,active,
semiconductor-ai,반도체·AI 산업 정책,경제·민생,반도체·AI 산업 지원(보조금·세액공제·인력)과 기술 주권 논쟁,반도체특별법;AI기본법;보조금;세액공제,active,
energy-policy,에너지 정책 (원전·재생),경제·민생,원전 확대와 재생에너지 전환 사이의 에너지 믹스 논쟁,원전;재생에너지;탈원전;전기요금;RE100,active,
pension-reform,연금 개혁,사회정책,국민연금 보험료율·소득대체율 개편과 세대 간 형평 논쟁,국민연금;보험료율;소득대체율;구조개혁,active,
healthcare-reform,의료 개혁,사회정책,의대 정원 후속·필수의료·공공의료 확충을 둘러싼 논쟁,의대정원;필수의료;공공의료;수가,active,
low-birthrate,저출생 대책,사회정책,저출생 대응 정책(현금성 지원·주거·돌봄)의 실효성 논쟁,저출생;출산율;육아휴직;돌봄,active,
immigration-policy,이민·외국인력 정책,사회정책,외국인력 도입 확대와 이민청 설립 등 이민 정책 논쟁,이민청;외국인력;고용허가제;다문화,active,
gender-policy,젠더·가족 정책,사회정책,여성가족부 개편·성평등 정책 방향을 둘러싼 논쟁,여성가족부;성평등;젠더갈등,active,
nk-policy,대북 정책·남북관계,외교·안보,대북 대화 재개·제재·안보 태세를 둘러싼 노선 논쟁,남북관계;대북정책;북핵;9.19합의,active,
us-alliance,한미 관계·방위비,외교·안보,한미동맹 운용·방위비 분담·전작권을 둘러싼 논쟁,한미동맹;방위비분담;전작권;관세,active,
japan-china-relations,한일·한중 관계,외교·안보,과거사·경제안보가 얽힌 한일/한중 외교 노선 논쟁,한일관계;한중관계;과거사;공급망,active,
media-reform,언론·방송 개혁,미디어·플랫폼,공영방송 지배구조·언론 관련 입법을 둘러싼 논쟁,방송법;공영방송;언론중재법;YTN,active,
disinformation-regulation,허위정보·유튜브 규제,미디어·플랫폼,온라인 허위정보 대응 입법과 표현의 자유 사이의 긴장,가짜뉴스;허위정보;유튜브 규제;알고리즘,active,우리 사업과 직접 관련 — 발언 수위 주의
balanced-development,수도권 집중·균형발전,사회정책,수도권 일극화 완화·지방소멸 대응·공공기관 이전 논쟁,균형발전;지방소멸;메가시티;공공기관 이전,active,
commercial-law,상법 개정 (기업 지배구조),경제·민생,이사 충실의무 확대 등 상법 개정과 기업 지배구조 논쟁,상법개정;이사 충실의무;소액주주;밸류업,active,3차 개정 2026.3 통과. 후속 논쟁 지속
