채널명,성향축,actor_type,channel_id/URL,구독자(실측),30일 업로드,선정구분,메모
펜앤드마이크TV,보수,media,https://www.youtube.com/channel/UCOqCunaF9qVN8bXwsK0HT3g | UCOqCunaF9qVN8bXwsK0HT3g,"1,980,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,언론사형 — 리포트 혼재로 발언중심 비중 확인. 허위보도 배상 판결(2021)·수익화 거절 이력 기록
배승희 변호사,보수,commentator,https://www.youtube.com/@tatabuta | UC8SZ88GQa9XWwZxLNibO3ug,"1,780,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,구독자 편차(128만~178만)·활동성 실측. 계엄 옹호 논란·변호사법 고발 이력 기록
고성국TV,보수,commentator,https://www.youtube.com/channel/UCM8BcGB6BWKq3utIMhGKnUA | UCM8BcGB6BWKq3utIMhGKnUA,"1,340,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,133만. 활동성 실측 필요
성창경TV,보수,media,https://www.youtube.com/channel/UCFWIofVBqseX6Bmd9Dn7kgg | UCFWIofVBqseX6Bmd9Dn7kgg,"1,280,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,진행 중 소송 다수(박선원 고소·민주당 대응) — 리스크 기록
이봉규TV,보수,commentator,https://www.youtube.com/channel/UCxuf3GXK290vcpFW0lxm0Uw | UCxuf3GXK290vcpFW0lxm0Uw,"979,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,97.9만. 활동성 실측 필요
매일신문 유튜브,보수,media,https://www.youtube.com/channel/UCGrraKQiTF-ml0KqPQ8mrUA | UCGrraKQiTF-ml0KqPQ8mrUA,"860,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",예외통과,예외 통과(2026-07-27 결정): 계엄 옹호·음모론 담론은 극우 세그먼트의 실제 의견 — 담론 지도의 
김태우TV,보수,media,https://www.youtube.com/channel/UCyuV4qJTRTHmdhBveSVJAew | UCyuV4qJTRTHmdhBveSVJAew,"831,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-24)",통과,전 구청장(유죄 확정 이력 기록) — actor_type=commentator
서정욱TV,보수,commentator,https://www.youtube.com/@서정욱TV | UCNzWZmsJ2QmBss30LeZZTdg,"740,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,일 5편+ 최다작 — 처리비용 상한 정책 전제
홍카콜라 (홍준표),보수,politician,https://www.youtube.com/@TVHongcacola | UCfmicRK2-WdZMVQDrfcitLA,"740,000 (API 실측 2026-07-27)","30일 6편 (실측, 최근 2026-07-25)",통과,"주 1~2편 — 주 2회 기준 경계, 실측. 정계 은퇴 상태 — actor_type 재분류(politicia"
최병묵의 FACT,보수,media,https://www.youtube.com/@choifact | UC9Hlfu1tksuFbo2peL1ohnA,"570,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,57만·주 10편+
황장수의 뉴스브리핑,보수,commentator,https://www.youtube.com/@JangsooHwang | UCR0VAgd0w8QI7WWQ0E8Srdw,"567,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-25)",통과,주 15~20편 다작. 동일 대표 복수 채널 — 심사 대상 채널 특정
이큐채널,보수,commentator,https://www.youtube.com/channel/UCek6BDHDbP2C5pzbXDAoc4A | UCek6BDHDbP2C5pzbXDAoc4A,"422,000 (API 실측 2026-07-27)","30일 36편 (실측, 최근 2026-07-26)",통과,성향=보수 확인. 구독자 편차(42만~129만) — 실측 필요
박성태의 뉴스쇼 (CBS·舊 김현정의 뉴스쇼),중립,media,https://www.youtube.com/channel/UC4Aa3OPkMenwTANpf0oWVRQ | UC4Aa3OPkMenwTANpf0oWVRQ,"1,640,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,★ 중립 축 최우선 신규 후보
채널A 뉴스TOP10,중립,media,https://www.youtube.com/channel/UCIIpmDPVk7nzNHEUSHmvkUg | UCIIpmDPVk7nzNHEUSHmvkUg(@channelA-newstop10),"1,430,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,독립 채널 확인·143만·매일 방송
CBS 한판승부,중립,media,UCV9gIwasozKlwz5U2Sa2q6g,"972,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-25)",통과,구독자 실측 필요. 평일 매일
JTBC 장르만 여의도,중립,media,https://www.youtube.com/channel/UCsqWTNmoaNPvsfeCgaD7BpQ | UCsqWTNmoaNPvsfeCgaD7BpQ,"653,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,종영 아님(정규 전환). 20만대 — 후보 중 소형
국회방송 NATV,중립,media,UCL-WOj1FxKR8Hlzg5tvnWKg,"311,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-24)",통과,본회의·상임위 원본 — 발언 원료 가치 최고. 제도권 축 필수
[팟빵] 최욱의 매불쇼,진보,media,https://www.youtube.com/@maebulshow | UCMYhq9OyGI5UEz_NTAoHY7A,"2,850,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-25)",통과,예능 혼재 — 발언 추출 노이즈 유의. 2026-06 진행자 고발 건 주시
오마이TV,진보,media,https://www.youtube.com/@OhmynewsTV | UClAfLVQYZSLrMAQQ_SXPVZw,"2,480,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,언론사(오마이뉴스) 공식 채널
김어준의 겸손은힘들다 뉴스공장,진보,media,https://www.youtube.com/@gyeomsonisnothing | UCAAvO0ehWox1bbym3rXKBZw,"2,320,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",통과,물량 최다급 — 처리비용 상한 정책 전제
서울의소리,진보,media,https://www.youtube.com/channel/UCUxTPRSns--l5BX2537u7Rw | UCUxTPRSns--l5BX2537u7Rw,"1,620,000 (API 실측 2026-07-27)","30일 50+편 (실측, 최근 2026-07-26)",예외통과,예외 통과(2026-07-27 결정): 리스크 배제 원칙의 예외. 진보 최대 규모(162만)·활발 — 커버리
