채널명,성향(추정·내부관리용),운영 주체 유형,구독자(확인치·시점),활동성 근거,비고 / 확인 필요 사항,channel_id/URL,최근30일_평균조회수,주간_업로드수,정치시사_비중%,기준_주제적합(Y/N),기준_규모(Y/N),기준_활동성(Y/N),기준_발언중심(Y/N),통과여부(통과|탈락|예외등재),탈락·예외사유
김어준의 겸손은힘들다 뉴스공장,진보(추정),논객·미디어,"약 223만명(2026년 2월 보도 기준, 정점 231만명에서 감소)",주 5회 이상(월~금 라디오 방송분 매일 업로드 + 코너·라이브) / 활동:Y,일 라이브. 물량 최다급 — 처리비용 상한 정책 필요 ‖ 2026년 1월 231만 정점 후 2월 이례적 감소 보도. 진행자 김어준 고정.,https://www.youtube.com/@gyeomsonisnothing | UCAAvO0ehWox1bbym3rXKBZw,미실측 — YouTube Data API로 W1 실측 예정,주 5회 이상(월~금 라디오 방송분 매일 업로드 + 코너·라이브),Y — 시사 인터뷰가 편성의 중심,Y,Y,Y,Y,통과,물량 최다급 — 처리비용 상한 정책 전제
[팟빵] 최욱의 매불쇼,진보(추정),미디어,약 289만명(2026-04-19 보도 기준),주 5회(월~금 14:00~16:00 생방송 + 풀버전/쇼츠) / 활동:Y,시사+예능 혼합 — 발언 추출 노이즈 확인 ‖ 2023-08 정영진 하차. 2026-06 최욱 방송 중 발언으로 고발됨(서민민생대책위).,https://www.youtube.com/@maebulshow | UCMYhq9OyGI5UEz_NTAoHY7A,미실측 — YouTube Data API로 W1 실측 예정,주 5회(월~금 14:00~16:00 생방송 + 풀버전/쇼츠),Y — 정치인·평론가 출연 시사토크 중심(비정치 코너 일부),Y,Y,Y,Y,통과,예능 혼재 — 발언 추출 노이즈 유의. 2026-06 진행자 고발 건 주시
스픽스 SPEAKS,진보(추정),미디어,약 150만명대(2025-07-30 기사 151만),주 5회 이상(월~금 '정치본색' 등 복수 프로그램 매일 생방송) / 활동:Y,친민주당 성향 분류(나무위키). 대표 전계완. 정치본색 진행자 최지은→최경영 교체.,https://www.youtube.com/@SPEAKS_TV | UCgeOlLcX6PReHdWImEnUVTg,미실측 — YouTube Data API로 W1 실측 예정,주 5회 이상(월~금 '정치본색' 등 복수 프로그램 매일 생방송),Y — 전 프로그램이 정치시사 토크,Y,Y,Y,Y,통과,
새날,진보(추정),논객,약 114만명(2026-06-18 기준),"주 7회(매일 생방송, 요일별 시사 프로그램) / 활동:Y",대표·메인 진행 '푸른나무'(권현문). 2014년 팟캐스트 시작.,https://www.youtube.com/@saenal | UCu1FzjrHosuKGvgIx8oBi8w,미실측 — YouTube Data API로 W1 실측 예정,"주 7회(매일 생방송, 요일별 시사 프로그램)",Y — 요일별 정치시사 프로그램이 근간,Y,Y,Y,Y,통과,
김용민TV,진보(추정),논객·전 언론인,약 88~89만명,주 5회 이상(월~금 07:00 브리핑 생방송 + 요일별 라이브) / 활동:Y,⚠️ 김용민은 현직 국회의원 — actor_type을 politician으로 볼지 검토 필요. 유사명 채널(민트TV) 혼동 주의.,https://www.youtube.com/@kimyongminTV | UCljnbFCt-4doBr7wtEIIbbw,미실측 — YouTube Data API로 W1 실측 예정,주 5회 이상(월~금 07:00 브리핑 생방송 + 요일별 라이브),Y — 전 프로그램 정치 브리핑·평론,Y,Y,Y,Y,통과,운영자 현직 국회의원 — actor_type=politician 재분류
오마이TV,진보(추정),언론사,약 250만,확인불가(평일 정규 라이브 '박정호의 핫스팟' 등 + 정치 이벤트 생중계 빈번) / 활동:Y(2026-07-07 긴급라이브 확인),오마이뉴스 운영 ‖ 오마이뉴스 공식 채널. 계엄·탄핵 국면 동접 수십만 기록,https://www.youtube.com/@OhmynewsTV | UClAfLVQYZSLrMAQQ_SXPVZw,미실측 — YouTube Data API로 W1 실측 예정,확인불가(평일 정규 라이브 '박정호의 핫스팟' 등 + 정치 이벤트 생중계 빈번),Y — 정치·선거·국회 생중계 및 시사토크 중심,Y,Y,Y,Y,통과,언론사(오마이뉴스) 공식 채널
미디어 민중의소리 MediaVOP,진보,언론사,약 87.4만,확인불가(뉴스 클립·쇼츠 상시 추정) / 활동:Y(2026-07-02 쇼츠 확인),발언 중심 기준 재확인 필요,https://www.youtube.com/@MediaVop | UCLiK08tsWKL5bNoz1f8sHsw,미실측 — YouTube Data API로 W1 실측 예정,확인불가(뉴스 클립·쇼츠 상시 추정),Y,Y,Y,?,?,보류,발언 중심 여부(클립·쇼츠 혼재) 실측 필요
시사타파TV,진보(추정),논객,약 54.1만(158만 수치는 출처 불명확으로 기각),주 2~3회 부정기('심층분석' 라이브) / 활동:Y(2026-07-23 콘텐츠 확인),"⚠️ '이종원 리스크' 언론 보도(굿모닝충청) — 진행자 신뢰성 논란, 후원금 투명성 문제 등. 활동성 주 2회 기준 경계선",https://www.youtube.com/@sisatapa_tv | UCzQJmmpZjqzJe96CwlrwlHQ,미실측 — YouTube Data API로 W1 실측 예정,주 2~3회 부정기('심층분석' 라이브),Y — 이종원 대표 정치 논평 전문,Y,Y,Y,Y,보류,진행자 신뢰성 논란('이종원 리스크')·후원금 투명성 — 리스크 평가 후 확정. 활동성 주2~3회 경계
뉴탐사 NewTamsa,진보(추정),탐사·미디어,약 43.1만,확인불가(정기 라이브 시리즈 존재) / 활동:Y(2026-07-16 라이브 확인),소송 이력 등 리스크 확인 ‖ ⚠️ 2023-10 더탐사에서 분리(대표 안원구). 더탐사(정천수 측)와 소유권 갈등 지속(2026-05 재점화) — 혼동 주의 + 법적 리스크,https://www.youtube.com/@newtamsa | UCpr8CBjls1XYoSd98d6aT1w,미실측 — YouTube Data API로 W1 실측 예정,확인불가(정기 라이브 시리즈 존재),Y — 정치 탐사보도·시사 라이브 중심,Y,Y,Y,Y,보류,더탐사와 소유권 분쟁 지속(2026-05 재점화) — 법적 리스크 평가 후 확정
빨간아재,진보(추정),논객,약 74.7만(출처 편차: vling 74.7만 vs hypeauditor 52.9만),확인불가 — 재판 방청·현장 취재형이라 부정기 추정 / 활동:확인불가(2025~26 현안 영상 다수이나 최근 업로드일 미확인),채널명과 달리 친민주 성향(나무위키). 활동성 재확인 필요,https://www.youtube.com/@RedAzae | UCNRDGWEilNZOIcVIq-FRKZQ,미실측 — YouTube Data API로 W1 실측 예정,확인불가 — 재판 방청·현장 취재형이라 부정기 추정,Y — 정치 재판 방청·해설 전문(박효석),Y,Y,?,Y,보류,활동성 실측 필요(부정기·재판 방청형). 구독자 출처 편차(52.9만~74.7만)
