canonical_name,kind,aliases(;구분),소속/직책(참고),확인여부,비고
김승원,person,김성원(STT),더불어민주당 의원·법사위 간사 (수원),N,법무부 장관 후보자 문맥. STT "김성원" 41회
박균택,person,박준택(STT),더불어민주당 의원·전 대장동 변호인,N,
이건태,person,이근태(STT),더불어민주당 의원·전 대장동 변호인,N,
강훈식,person,강원식(STT),대통령 비서실장,N,
이형일,person,이흥일(STT),재정경제부 1차관?,N,저신뢰 — 확인 필요
유시민,person,유작가;유심민(STT);유신민(STT),작가·전 노무현재단 이사장,N,유승민과 별개
김민전,person,,국민의힘 의원,N,성창경TV 문맥
박선원,person,,더불어민주당 의원 (김민석 캠프),N,
강진구,person,강진국(STT),뉴탐사 기자,N,
명태균,person,,,N,
김완,person,김한(STT),한겨레 기자,N,골든셋 영상 출연
조태임,person,,CBS 기자,N,
이서희,person,,한국일보 기자,N,
김은지,person,,시사IN 기자,N,
장미란,person,,제주 실종 사건 관련 (신인균 국방TV),N,사건 인물 — 정치 엔티티 여부 검토
국정조사,event,국조,,N,약칭 별칭
부산경남,org,부경;PK,,N,지역 약칭
충청권,org,충청;충천권(STT),,N,경선 지역 단위
