term,signal,weight,note
여론조사에서,fact,3,출처·문서·기관 명시
갤럽,fact,3,출처·문서·기관 명시
리얼미터,fact,3,출처·문서·기관 명시
NBS,fact,3,출처·문서·기관 명시
조사 결과,fact,3,출처·문서·기관 명시
공식 발표,fact,3,출처·문서·기관 명시
발표했습니다,fact,3,출처·문서·기관 명시
보도에 따르면,fact,3,출처·문서·기관 명시
기사가 떴,fact,3,출처·문서·기관 명시
연합뉴스,fact,3,출처·문서·기관 명시
판결,fact,3,출처·문서·기관 명시
선고,fact,3,출처·문서·기관 명시
확정됐,fact,3,출처·문서·기관 명시
조문,fact,3,출처·문서·기관 명시
헌법 제,fact,3,출처·문서·기관 명시
법 제,fact,3,출처·문서·기관 명시
통계,fact,3,출처·문서·기관 명시
자료에 따르면,fact,3,출처·문서·기관 명시
공시,fact,3,출처·문서·기관 명시
공문,fact,3,출처·문서·기관 명시
녹취록 공개,fact,3,출처·문서·기관 명시
입장문,fact,3,출처·문서·기관 명시
%p,fact,2,수치·일시·직접 확인
%였,fact,2,수치·일시·직접 확인
억 원,fact,2,수치·일시·직접 확인
만 명,fact,2,수치·일시·직접 확인
명입니다,fact,2,수치·일시·직접 확인
일에,fact,2,수치·일시·직접 확인
년 월,fact,2,수치·일시·직접 확인
시점은,fact,2,수치·일시·직접 확인
직접 통화,fact,2,수치·일시·직접 확인
취재해 보니,fact,2,수치·일시·직접 확인
확인해 보니,fact,2,수치·일시·직접 확인
제가 확인,fact,2,수치·일시·직접 확인
라고 합니다,claim,3,출처 없는 전언
라고 해요,claim,3,출처 없는 전언
라더라,claim,3,출처 없는 전언
카더라,claim,3,출처 없는 전언
들었습니다,claim,3,출처 없는 전언
들었는데,claim,3,출처 없는 전언
얘기하더라고요,claim,3,출처 없는 전언
얘기가 나오,claim,3,출처 없는 전언
알려졌,claim,3,출처 없는 전언
전해졌,claim,3,출처 없는 전언
소문,claim,3,출처 없는 전언
설이 있,claim,3,출처 없는 전언
녹취가 있다고,claim,3,출처 없는 전언
근거가 있다고,claim,3,출처 없는 전언
사실상,claim,2,근거 없는 단정·귀속
결국,claim,2,근거 없는 단정·귀속
분명히,claim,2,근거 없는 단정·귀속
확실히,claim,2,근거 없는 단정·귀속
틀림없,claim,2,근거 없는 단정·귀속
뻔합니다,claim,2,근거 없는 단정·귀속
뻔하,claim,2,근거 없는 단정·귀속
배후,claim,2,근거 없는 단정·귀속
의혹,claim,2,근거 없는 단정·귀속
짜고,claim,2,근거 없는 단정·귀속
조작,claim,2,근거 없는 단정·귀속
공작,claim,2,근거 없는 단정·귀속
사주,claim,2,근거 없는 단정·귀속
지시했,claim,2,근거 없는 단정·귀속
거짓말,claim,2,근거 없는 단정·귀속
허위,claim,2,근거 없는 단정·귀속
포기했다,claim,2,근거 없는 단정·귀속
입장을 바꿨,claim,2,근거 없는 단정·귀속
숨기고,claim,2,근거 없는 단정·귀속
은폐,claim,2,근거 없는 단정·귀속
됐었나,claim,1,화자 스스로 불확실한 수치
한 것 같은데,claim,1,화자 스스로 불확실한 수치
정도 된다고,claim,1,화자 스스로 불확실한 수치
쯤,claim,1,화자 스스로 불확실한 수치
가량,claim,1,화자 스스로 불확실한 수치
생각합니다,opinion,3,판단·예측
생각해요,opinion,3,판단·예측
봅니다,opinion,3,판단·예측
보는 거예요,opinion,3,판단·예측
것 같습니다,opinion,3,판단·예측
것 같아요,opinion,3,판단·예측
않을까,opinion,3,판단·예측
할 것이다,opinion,3,판단·예측
될 겁니다,opinion,3,판단·예측
될 것,opinion,3,판단·예측
전망,opinion,3,판단·예측
예측,opinion,3,판단·예측
우려,opinion,3,판단·예측
해야 합니다,opinion,3,당위
해야 된다,opinion,3,당위
해야죠,opinion,3,당위
하면 안 된다,opinion,3,당위
돼야 한다,opinion,3,당위
바랍니다,opinion,3,당위
촉구,opinion,3,당위
잘못,opinion,2,평가·가정법
잘했,opinion,2,평가·가정법
훌륭,opinion,2,평가·가정법
최악,opinion,2,평가·가정법
한심,opinion,2,평가·가정법
오만,opinion,2,평가·가정법
치졸,opinion,2,평가·가정법
비겁,opinion,2,평가·가정법
용감,opinion,2,평가·가정법
품격,opinion,2,평가·가정법
수준,opinion,2,평가·가정법
어이없,opinion,2,평가·가정법
말이 됩니까,opinion,2,평가·가정법
가 아닙니까,opinion,2,평가·가정법
했으면 좋겠,opinion,2,평가·가정법
했을 텐데,opinion,2,평가·가정법
했어야,opinion,2,평가·가정법
비유하면,opinion,2,수사·해석
마치,opinion,2,수사·해석
같은 거예요,opinion,2,수사·해석
프레임,opinion,2,수사·해석
갈라치기,opinion,2,수사·해석
도그마,opinion,2,수사·해석
궤변,opinion,2,수사·해석
