canonical_name,kind,aliases(;구분),소속/직책(참고),확인여부(Y=이번조사 확인),비고
더불어민주당,party,민주당;민주;여당;더민주,원내 1당·여당 (161석),Y,
국민의힘,party,국힘;국민의 힘;여의도 국민의힘,원내 2당·제1야당 (110석),Y,
조국혁신당,party,혁신당;조혁,원내 정당,Y,
개혁신당,party,개혁당,원내 정당,Y,
진보당,party,,원내 정당,Y,
기본소득당,party,,원내 정당,Y,
사회민주당,party,사민당,원내 정당,Y,
무소속,party,,,Y,
자유통일당,party,,원외/원내 확인 필요,N,의석 여부 확인
녹색정의당,party,정의당,원외 (22대 원외),N,현 당명·상태 확인
이재명,person,이재명 대통령;재명이;이 대통령,대통령 (2025.06~),Y,
한성숙,person,한성숙 총리;한 총리,국무총리 (2026.07~),Y,20년 만의 여성 총리
김민석,person,김민석 전 총리,전 국무총리,Y,2기 개각으로 교체
우원식,person,우원식 의장;우 의장,국회의장,N,재임 여부 확인
한병도,person,,민주당 대표 직무대행 (2026.07),Y,전당대회 전까지
한정애,person,,민주당 정책위의장,Y,
유동수,person,,민주당 사무총장,Y,
장동혁,person,장동혁 대표,국민의힘 당대표,Y,
정점식,person,,국민의힘 원내대표,Y,
정희용,person,,국민의힘 사무총장,Y,
오세훈,person,오 시장;오세훈 시장,서울시장 (2026 재선),Y,6·3 지선 승리
조국,person,조국 대표,조국혁신당 (대표 여부 확인),N,사면·복권 시점 확인
이준석,person,이준석 대표,개혁신당,N,현 직책 확인
천하람,person,,개혁신당 의원,Y,2차 특검법 필리버스터
한동훈,person,한동훈 전 대표,전 국민의힘 대표 (제명),Y,2026 초 제명 — 현 소속 확인
윤석열,person,윤 전 대통령;윤석열 전 대통령,전 대통령,Y,특검·재판 진행
김건희,person,김건희 여사,전 대통령 배우자,Y,특검 대상
김동연,person,김동연 지사,경기도지사 (재선 여부 확인),N,
홍준표,person,홍 시장;홍준표 시장,전 대구시장 — 현 직위 확인,N,
나경원,person,,국민의힘 의원,N,
안철수,person,,국민의힘 의원,N,
추경호,person,,국민의힘 의원,N,
권성동,person,,국민의힘 의원,N,
권영세,person,,국민의힘 의원,N,
김기현,person,,국민의힘 의원,N,
윤상현,person,,국민의힘 의원,N,
성일종,person,,국민의힘 의원,N,
배현진,person,,국민의힘 의원,N,
김재섭,person,,국민의힘 의원,N,
조은희,person,,국민의힘 의원,N,
박수영,person,,국민의힘 의원,N,
주진우,person,주진우 의원(국힘),국민의힘 의원,N,동명이인 주의: 언론인 주진우와 구분
박찬대,person,,민주당 의원,N,전 원내대표
정청래,person,,민주당 의원,N,
김민석(의원),person,,—,N,총리 김민석과 동일인 — 사전에서 병합 필요
박주민,person,,민주당 의원,N,
고민정,person,,민주당 의원,N,
전현희,person,,민주당 의원,N,
추미애,person,,민주당 의원,N,
임종석,person,,전 대통령비서실장,N,현 지위 확인
김부겸,person,,전 국무총리,N,
김경수,person,,전 경남지사,N,현 지위 확인
김영선,person,,—,N,확인 필요
이언주,person,,민주당 의원,N,
서영교,person,,민주당 의원,N,
진성준,person,,민주당 의원,N,
이재정,person,,민주당 의원,N,동명이인 주의(전 교육감)
황운하,person,,조국혁신당 의원,N,
신장식,person,,조국혁신당 의원,N,
박은정,person,,조국혁신당 의원,N,
김선민,person,,조국혁신당 의원,N,
이주영,person,,개혁신당 의원,N,동명이인 주의(전 해수부 장관)
용혜인,person,,기본소득당 의원,N,
한창민,person,,사회민주당 의원,N,
윤종오,person,,진보당 의원,N,
정혜경,person,,진보당 의원,N,
전종덕,person,,진보당 의원,N,
이해민,person,,조국혁신당 의원,N,국회 폭력 사건 피해 당사자 보도
서명옥,person,,국민의힘 의원,N,국회 폭력 사건 관련 윤리위 제소 보도
박형준,person,,부산시장 여부 확인,N,
김진태,person,,강원지사 여부 확인,N,
이철우,person,,경북지사 여부 확인,N,
김영록,person,,전남지사 여부 확인,N,
강기정,person,,광주시장 여부 확인,N,
이장우,person,,대전시장 여부 확인,N,
박완수,person,,경남지사 여부 확인,N,6·3 지선 경남 결과 확인
천영식,person,,전 방통위원장 후보자 (낙마),Y,임명동의 부결 사례
이진숙,person,,전 방통위원장,N,현 지위 확인
정성호,person,,법무부 장관 여부 확인,N,2기 개각 반영 필요
위성락,person,,국가안보실장 여부 확인,N,
조현,person,,외교부 장관 여부 확인,N,
안규백,person,,국방부 장관 여부 확인,N,
김영훈,person,,고용노동부 장관 여부 확인,N,
구윤철,person,,기재부 장관(부총리) 여부 확인,N,
정동영,person,,통일부 장관 여부 확인,N,
유승민,person,,전 의원 — 현 소속 확인,N,
이낙연,person,,전 국무총리 — 현 소속 확인,N,
심상정,person,,전 의원,N,
류호정,person,,전 의원,N,
금태섭,person,,전 의원,N,
박지원,person,,민주당 의원,N,
박영선,person,,전 중기부 장관 — 서울시장 출마 여부 상충 보도,N,출처 간 상충 — 확인 필수
박남춘,person,,전 인천시장 — 재선 여부 상충 보도,N,출처 간 상충 — 확인 필수
김두겸,person,,울산시장 여부 확인,N,
최민호,person,,세종시장 여부 확인,N,
김관영,person,,전북지사 여부 확인,N,
오영훈,person,,제주지사 여부 확인,N,
김태흠,person,,충남지사 여부 확인,N,
김영환,person,,충북지사 여부 확인,N,
유정복,person,,인천시장 여부 확인,N,
허은아,person,,전 개혁신당 대표 — 현 소속 확인,N,
이광재,person,,전 의원 — 현 지위 확인,N,
원희룡,person,,전 국토부 장관 — 현 소속 확인,N,
이탄희,person,,전 의원 — 사법개혁 논의 관련,N,
조희대,person,,대법원장,N,재판소원 논쟁 당사자 기관장
문형배,person,,전 헌재소장 권한대행,N,
오동운,person,,공수처장 여부 확인,N,
이재강,person,,—,N,확인 필요 — 임의 후보
대통령실,org,용산;대통령비서실,헌법기관 보좌,Y,
국회,org,여의도,입법부,Y,
국회 법제사법위원회,org,법사위,상임위,Y,
국회 과학기술정보방송통신위원회,org,과방위,상임위,Y,
국회 기획재정위원회,org,기재위,상임위,Y,
국회 정무위원회,org,정무위,상임위,Y,
국회 행정안전위원회,org,행안위,상임위,Y,
국회 국방위원회,org,국방위,상임위,Y,
국회 외교통일위원회,org,외통위,상임위,Y,
국회 환경노동위원회,org,환노위,상임위,Y,
국회 보건복지위원회,org,복지위,상임위,Y,
국회 국토교통위원회,org,국토위,상임위,Y,
헌법재판소,org,헌재,사법,Y,
대법원,org,,사법,Y,
검찰청,org,검찰,수사·기소 — 공소청 개편 논쟁 중,Y,
고위공직자범죄수사처,org,공수처,수사기관,Y,
경찰청,org,경찰,수사기관,Y,
국가정보원,org,국정원,정보기관,Y,
감사원,org,,감찰기관,Y,
중앙선거관리위원회,org,선관위,헌법기관,Y,
방송통신위원회,org,방통위,행정위원회,Y,
공정거래위원회,org,공정위,행정위원회,Y,
금융위원회,org,금융위,행정위원회,Y,
금융감독원,org,금감원,감독기구,Y,
기획재정부,org,기재부,정부 부처,Y,
법무부,org,,정부 부처,Y,
외교부,org,,정부 부처,Y,
통일부,org,,정부 부처,Y,
국방부,org,,정부 부처,Y,
행정안전부,org,행안부,정부 부처,Y,
교육부,org,,정부 부처,Y,
보건복지부,org,복지부,정부 부처,Y,
고용노동부,org,노동부,정부 부처,Y,
국토교통부,org,국토부,정부 부처,Y,
산업통상자원부,org,산자부;산업부,정부 부처,Y,명칭 개편 여부 확인
과학기술정보통신부,org,과기정통부,정부 부처,Y,
환경부,org,,정부 부처,Y,
여성가족부,org,여가부,정부 부처 — 개편 논쟁,Y,
중소벤처기업부,org,중기부,정부 부처,Y,
국가보훈부,org,보훈부,정부 부처,Y,
농림축산식품부,org,농식품부,정부 부처,Y,
해양수산부,org,해수부,정부 부처,Y,
한국은행,org,한은,중앙은행,Y,
국민연금공단,org,국민연금,공공기관,Y,
서울특별시,org,서울시,광역자치단체,Y,
경기도,org,,광역자치단체,Y,
국회 예산결산특별위원회,org,예결위,특별위,Y,
더불어민주당 최고위원회,org,민주당 최고위,당 지도부,Y,
국민의힘 최고위원회,org,국힘 최고위,당 지도부,Y,
KBS,org,한국방송,언론사,Y,발언 표적 정규화용
MBC,org,문화방송,언론사,Y,발언 표적 정규화용
SBS,org,,언론사,Y,발언 표적 정규화용
YTN,org,,언론사,Y,발언 표적 정규화용
연합뉴스,org,연합,언론사,Y,발언 표적 정규화용
JTBC,org,,언론사,Y,발언 표적 정규화용
TV조선,org,,언론사,Y,발언 표적 정규화용
채널A,org,,언론사,Y,발언 표적 정규화용
MBN,org,,언론사,Y,발언 표적 정규화용
조선일보,org,조선,언론사,Y,발언 표적 정규화용
중앙일보,org,중앙,언론사,Y,발언 표적 정규화용
동아일보,org,동아,언론사,Y,발언 표적 정규화용
한겨레,org,한겨레신문,언론사,Y,발언 표적 정규화용
경향신문,org,경향,언론사,Y,발언 표적 정규화용
한국일보,org,,언론사,Y,발언 표적 정규화용
오마이뉴스,org,,언론사,Y,발언 표적 정규화용
뉴스타파,org,,언론사,Y,발언 표적 정규화용
도널드 트럼프,person,트럼프;트황상,미국 대통령,Y,
김정은,person,김정은 위원장,북한 국무위원장,Y,
시진핑,person,시 주석,중국 국가주석,Y,
블라디미르 푸틴,person,푸틴,러시아 대통령,Y,
일본 총리,person,일본 수상,— 현직명 확인,N,현직 이름으로 교체 필요
미국,org,미;워싱턴,국가,Y,
중국,org,중;베이징,국가,Y,
일본,org,일;도쿄,국가,Y,
북한,org,북;평양;조선,국가,Y,
러시아,org,러,국가,Y,
백악관,org,,미국 행정부,Y,
주한미군,org,USFK,군,Y,
유엔,org,UN;국제연합,국제기구,Y,
NATO,org,나토;북대서양조약기구,국제기구,Y,
한국개발연구원,org,KDI,국책연구기관,Y,
국회입법조사처,org,,국회 기관,Y,
국회예산정책처,org,예정처,국회 기관,Y,
통계청,org,,정부 기관,Y,
질병관리청,org,질병청,정부 기관,Y,
국세청,org,,정부 기관,Y,
병무청,org,,정부 기관,Y,
소방청,org,,정부 기관,Y,
한국토지주택공사,org,LH,공공기관,Y,
한국전력공사,org,한전,공공기관,Y,
전국민주노동조합총연맹,org,민주노총,노동단체,Y,
한국노동조합총연맹,org,한국노총,노동단체,Y,
전국경제인연합회,org,한경협;전경련,경제단체,Y,명칭 변경 이력 주의
대한상공회의소,org,대한상의,경제단체,Y,
참여연대,org,,시민단체,Y,
경제정의실천시민연합,org,경실련,시민단체,Y,
삼성전자,org,삼전,기업 — 정책 논쟁 표적,Y,
SK하이닉스,org,하이닉스,기업,Y,
현대자동차,org,현대차,기업,Y,
네이버,org,NAVER,기업 — 플랫폼 규제 표적,Y,
카카오,org,,기업 — 플랫폼 규제 표적,Y,
쿠팡,org,,기업 — 플랫폼 규제 표적,Y,
